Date,ULEV_forecast
2019-07-31,1015
2019-08-31,1070
2019-09-30,1127
2019-10-31,1188
2019-11-30,1257
2019-12-31,1314
2020-01-31,1384
2020-02-29,1444
2020-03-31,1514
2020-04-30,1576
2020-05-31,1638
2020-06-30,1703
2020-07-31,1773
2020-08-31,1841
2020-09-30,1908
2020-10-31,1974
2020-11-30,2044
2020-12-31,2115
2021-01-31,2186
2021-02-28,2258
2021-03-31,2329
2021-04-30,2402
2021-05-31,2476
2021-06-30,2551
2021-07-31,2625
2021-08-31,2701
2021-09-30,2777
2021-10-31,2854
2021-11-30,2932
2021-12-31,3011
2022-01-31,3090
2022-02-28,3170
2022-03-31,3250
2022-04-30,3331
2022-05-31,3413
2022-06-30,3496
2022-07-31,3579
2022-08-31,3663
2022-09-30,3748
2022-10-31,3833
2022-11-30,3919
2022-12-31,4006
2023-01-31,4093
2023-02-28,4181
2023-03-31,4270
2023-04-30,4360
2023-05-31,4450
2023-06-30,4541
2023-07-31,4633
2023-08-31,4725
2023-09-30,4818
2023-10-31,4911
2023-11-30,5006
2023-12-31,5101
2024-01-31,5197
2024-02-29,5293
2024-03-31,5390
2024-04-30,5488
2024-05-31,5587
2024-06-30,5686
2024-07-31,5786
2024-08-31,5886
2024-09-30,5988
2024-10-31,6090
2024-11-30,6192
2024-12-31,6296
2025-01-31,6400
2025-02-28,6505
2025-03-31,6610
2025-04-30,6716
2025-05-31,6823
2025-06-30,6931
2025-07-31,7039
2025-08-31,7148
2025-09-30,7257
2025-10-31,7368
2025-11-30,7479
2025-12-31,7590
2026-01-31,7703
2026-02-28,7816
2026-03-31,7930
2026-04-30,8044
2026-05-31,8159
2026-06-30,8275
2026-07-31,8392
2026-08-31,8509
2026-09-30,8627
2026-10-31,8746
2026-11-30,8865
2026-12-31,8985
